SCU Number,Market Name,Owner,Pole Height - AGL,Type,Primary Power,Secondary Power,Communication Lines,Guy Wires,Sign,Light Arm,Banner,Surveillance Equipment,Power Meter,Traffic Signal,Transformer,Other,Comments,Reviewed By,Time Study (Minutes),Link to as built,,,,
403019,"Philadelphia, PA",PECO,39,Wood,29.25,24.17,19.58; 17.67; 17.58; 16.67,28.25; 22.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Bob,22,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3754542/N109_NAT_Revised_As_Built.pdf,,,,
412851,"Atlanta, GA",CC (CrownCastle),38.58,Wood,N/A,31.25,N/A,N/A,31.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Bob,,https://www.ccisites.com/uploads/non_otg_docs/work_task/4000000-4099999/4033391/AT90XSJ62NAT_Revised_As_Built.pdf,,,,
415700,"Baltimore, MD",BAL (City of Baltimore),27.5,Metal Streetlight,N/A,N/A,N/A,N/A,N/A,27,N/A,N/A,6.67-X,N/A,N/A,4.75-X,Other - Disconnect,Bob,,https://www.ccisites.com/uploads/non_otg_docs/work_task/5300000-5399999/5396805/COP-DTE-008-15538919-As-Built_Construction_Drawings.pdf,,,,
415701,"Baltimore, MD",BAL (City of Baltimore),27.5,Metal Streetlight,N/A,N/A,N/A,N/A,14.42-15.25,27,N/A,N/A,6.5-X,N/A,N/A,4.58-X,Other - Disconnect,Bob,,https://www.ccisites.com/uploads/non_otg_docs/work_task/5300000-5399999/5396773/COP-DTE-009-15538875-As-Built_Construction_Drawings.pdf,,,,
415734,"Baltimore, MD",BAL (City of Baltimore),27.5,Metal Pole,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.33-X,N/A,N/A,5.42-X,Other - Disconnect,Bob,,https://www.ccisites.com/uploads/non_otg_docs/work_task/5300000-5399999/5396824/COP-DTE-042-15538965-As-Built_Construction_Drawings.pdf,,,,
415748,"Baltimore, MD",BAL (City of Baltimore),27.75,Metal Streetlight,N/A,N/A,N/A,N/A,13-15,27.25,N/A,N/A,6.5-X,N/A,N/A,4.58-X,Other - Disconnect,Bob,20,https://www.ccisites.com/uploads/non_otg_docs/work_task/5300000-5399999/5396546/COP-DTE-056-15538839-As-Built_Construction_Drawings.pdf,,,,
415749,"Baltimore, MD",BAL (City of Baltimore),27.75,Metal Streetlight,N/A,N/A,N/A,N/A,N/A,27.25,N/A,N/A,7.33-X,N/A,N/A,5.42-X,Other - Disconnect,Bob,15,https://www.ccisites.com/uploads/non_otg_docs/work_task/5300000-5399999/5396559/COP-DTE-057-15538869-As_Built_Construction_Drawings.pdf,,,,
415752,"Baltimore, MD",BAL (City of Baltimore),27.5,Metal Streetlight,N/A,N/A,N/A,N/A,5.42-10.33; 6.42-7.58,27,N/A,N/A,6.42-X,N/A,N/A,4.5-X,Other - Disconnect,Bob,,https://www.ccisites.com/uploads/non_otg_docs/work_task/5300000-5399999/5396547/COP-DTE-060-15538859-As-Built_Construction_Drawings.pdf,,,,
415769,"Baltimore, MD",BAL (City of Baltimore),27.5,Metal Streetlight,N/A,N/A,N/A,N/A,13.58-14.08; 14.08-14.75,27,N/A,N/A,6.42-X,N/A,N/A,4.5-X,Other - Disconnect,Bob,,https://www.ccisites.com/uploads/non_otg_docs/work_task/5300000-5399999/5396535/COP-DTE-077-15538829-As_Built.pdf,,,,
415774,"Baltimore, MD",BAL (City of Baltimore),27.5,Metal Streetlight,N/A,N/A,N/A,N/A,5.58-7.58; 13.33-13.92; 12.58-13.17; X-X,27,N/A,N/A,6.5-X,N/A,N/A,4.58-X,Other - Disconnect,Bob,,https://www.ccisites.com/uploads/non_otg_docs/work_task/5300000-5399999/5396523/COP-DTE-082-15538841-As-Built.pdf,,,,
415783,"Baltimore, MD",BAL (City of Baltimore),27.5,Metal Streetlight,N/A,N/A,N/A,N/A,X-X; 6.5-8.92,27,N/A,N/A,6.5-X,N/A,N/A,4.58-X,Other - Disconnect,Bob,,https://www.ccisites.com/uploads/non_otg_docs/work_task/5300000-5399999/5396525/COP-DTE-091-15538633-As_Built_Consturction_Drawings.pdf,,,,
415786,"Baltimore, MD",BAL (City of Baltimore),27.5,Metal Streetlight,N/A,N/A,N/A,N/A,8.58-11.58; 12.83-13.75; 13.08-13.25; 13.58-14.5,27,N/A,N/A,6-X,N/A,N/A,4.08-X,Other - Disconnect,Bob,,https://www.ccisites.com/uploads/non_otg_docs/work_task/5300000-5399999/5396529/COP-DTE-094-15538641-As-Built_Construction_Drawings.pdf,,,,
416128,"Baltimore, MD",BAL (City of Baltimore),27.5,Metal Streetlight,N/A,N/A,N/A,N/A,13.58-14.17; 14.58-15.33,27,N/A,N/A,6.5-X,N/A,N/A,4.58-X; 9.33; 22; 22.5,"Other - Disconnect, Cable Holes",Bob,,https://www.ccisites.com/uploads/non_otg_docs/work_task/5300000-5399999/5396569/COP-DTE-185-15538663-As-Built_Construction_Drawings.pdf,,,,
417198,"Athens, GA",ATTLT (AT&T),33.75,Wood,N/A,31.42; 27.08,19.5,X; X,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.83-X; 9.58; 11.67-X,"Other - Disconnect, DG Arm, NID",Bob,40,https://www.ccisites.com/uploads/non_otg_docs/work_task/2400000-2499999/2481633/ATH017_AsBuilt.pdf,,,,
440435,"Atlantic City, NJ",CCNGE (Crown Castle NG East LLC),42.92,Wood,N/A,28.17,22.17,N/A,N/A,N/A,N/A,N/A,6-X,N/A,N/A,N/A,,Bob,25,https://www.ccisites.com/uploads/non_otg_docs/work_task/3500000-3599999/3529099/WLD-017m1_Redline.pdf,,,,
412977,"Atlanta, GA",CC (CrownCastle),38.08,Composite Fiberglass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?,as built disconnect and fiber NIDs show below the shroud.  Closeout photos and google earth show them in line with the shroud,Karen,,https://www.ccisites.com/uploads/non_otg_docs/work_task/5100000-5199999/5116719/DNW075_5G_Redlines_-_S1.pdf,,,,
415746,"Baltimore, MD",CC (CrownCastle),27.75,Metal Streetlight,N/A,N/A,N/A,N/A,N/A,27.17,N/A,N/A,6.75-X,N/A,N/A,4.83-X,,Karen,,https://www.ccisites.com/uploads/non_otg_docs/work_task/5300000-5399999/5396558/COP-DTE-054-15538837-As-Built_Construction_Drawings.pdf,,,,
415831,"Baltimore, MD",BAL (City of Baltimore),27.5,Metal Streetlight,N/A,N/A,N/A,N/A,13-15.58; 13.17-15.67,27,N/A,N/A,6.33-X,N/A,N/A,4.42-X,,Karen,20,https://www.ccisites.com/uploads/non_otg_docs/work_task/5300000-5399999/5396605/COP-DTE-139-15538609-As-Built_Construction_Drawings.pdf,,,,
415842,"Baltimore, MD",BAL (City of Baltimore),27.58,Metal Streetlight,N/A,N/A,N/A,N/A,6.5-8.58; 12.67-15.08,27.08,N/A,N/A,6.17-X,N/A,N/A,4.33-X,,Karen,15,https://www.ccisites.com/uploads/non_otg_docs/work_task/5300000-5399999/5396743/COP-DTE-150-15538611-As-Built_Construction_Drawings.pdf,,,,
416057,"Baltimore, MD",BAL (City of Baltimore),27.83,Metal Streetlight,N/A,N/A,N/A,N/A,6.42-8.92,27.33,N/A,N/A,7.42-X,N/A,N/A,5.5-X,,Karen,,https://www.ccisites.com/uploads/non_otg_docs/work_task/5300000-5399999/5396754/COP-DTE-401-15538781-As-Built_Construction_Drawings.pdf,,,,
416063,"Baltimore, MD",BAL (City of Baltimore),27.5,Metal Streetlight,N/A,N/A,N/A,N/A,13-15.58,27,N/A,N/A,6.25-X,N/A,N/A,4.33-X; 9.33,9.33 in Other is a cable hole,Karen,,https://www.ccisites.com/uploads/non_otg_docs/work_task/5300000-5399999/5396748/COP-DTE-407-15538801-As_Built_Construction_Drawings.pdf,,,,
431427,"Chicago, IL",CDOT (City of Chicago),34.5,Metal Streetlight,N/A,N/A,N/A,N/A,N/A,X;X; X-X,N/A,N/A,X,N/A,N/A,X;X,Other - Disconnect and Fiber box,Karen,50,https://www.ccisites.com/uploads/non_otg_docs/work_task/5100000-5199999/5118415/CHICAGO_SC_19_431427_REDLINE-NODE.pdf,,,,
415941,"Baltimore, MD",BAL (City of Baltimore),27.5,Metal Pole,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.08-X,N/A,N/A,5.17-X,,Karen,,https://www.ccisites.com/uploads/non_otg_docs/work_task/5300000-5399999/5396769/COP-DTE-276-15538459-As-Built_Construction_Drawing.pdf,,,,
415987,"Baltimore, MD",BAL (City of Baltimore),29,Metal Streetlight,N/A,N/A,N/A,N/A,X  ,28.5,N/A,N/A,7.83-X,5.92-X,N/A,N/A,"One Way sign in goolge earth, not captured in site photos",Karen,,https://www.ccisites.com/uploads/non_otg_docs/work_task/5300000-5399999/5396803/COP-DTE-325-15538537-As-Built_Construction_Drawings.pdf,,,,
402146,"Trenton, NJ",CCNGE (Crown Castle NG East),38.83,Wood,N/A,29.08,19.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.25; 7.67-X,15.25 in Other is a hook,Karen,35,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3752147/PCT-009_402146_NAT_Redlined_As-Built.pdf,,,,
404299,"Philadelphia, PA",PECO (Philadelphia Electric Company),47.58,Wood,39.08,25.58,21.25; 20.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.08-X,,Karen,65,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3755308/PHL-329m1_404299_NAT_Redlined_As-Built.pdf,,,,
404300,"Philadelphia, PA",PECO (Philadelphia Electric Company),48.5,Wood,37.42,30.08,23.25; 20.08; 19; 18.58; 18.58; 17.67,N/A,N/A,25.33-27.42,N/A,N/A,N/A,N/A,N/A,11.67-X; 15.67-X,15.67 in Other - CL of a Verizon box,Karen,45,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3754779/PHL-267_404300_NAT_Redlined_As-Built.pdf,,,,
404350,"Philadelphia, PA",PECO (Philadelphia Electric Company),44.83,Wood,32.92,25.42,19.5; 19; 18; 17.33,N/A,N/A,22.83; 23.83-26.17,N/A,N/A,N/A,N/A,N/A,9.5-X,,Karen,,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3754929/PHL-252_404350_NAT_Redlined_As-Built.pdf,,,,
404352,"Philadelphia, PA",PECO (Philadelphia Electric Company),47,Wood,37.75,25.92,19.75; 19.25; 18.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.33-X; 24.92; 26.58,"Other - Disconnect Box, Top of Weatherhead, Neutral",Karen,,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3754946/PHL-251_404352_NAT_Redlined_As-Built.pdf,,,,
404372,"Philadelphia, PA",PECO (Philadelphia Electric Company),33.67,Wood,N/A,25.25,N/A,N/A,N/A,24.33; 21.42,N/A,N/A,N/A,N/A,N/A,N/A,,Lisa,20,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3754669/PHL-283_404372_NAT_Redlined_As-Built.pdf,,,,
404375,"Philadelphia, PA",PECO (Philadelphia Electric Company),34.42,Wood,N/A,24.83,18.5; 17.17; 16.25; 15.25,N/A,N/A,24.42; 22,N/A,N/A,N/A,N/A,N/A,21.50; 20.25; 18; 10.17,"Empty Bell -21.50, Messenger - 20.25, Messenger - 18, Disconnect Box - 10.17",Lisa,50,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3755612/PHL-148_404375_NAT_Redlined_As-Built.pdf,,,,
404397,"Philadelphia, PA",PECO (Philadelphia Electric Company),39.58,Wood,N/A,27,19.83,18.67; 26.67,11.33-8.83; 8.25-7.25,25.25; 22.67,N/A,N/A,N/A,N/A,N/A,19,CATV,Lisa,50,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3755620/PHL-124_404397_NAT_Redlined_As-Built.pdf,,,,
404410,"Philadelphia, PA",PECO (Philadelphia Electric Company),39.5,Wood,N/A,20.5,18.42,10.75; 10.25,N/A,24.08; 21.83,N/A,N/A,N/A,N/A,N/A,N/A,,Lisa,,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3755586/PL90XSEA7N18.L_PHL-132_RECORD_REV00_20200417.pdf,,,,
404446,"Philadelphia, PA",PECO (Philadelphia Electric Company),42.92,Wood,31.42,25; 24,"26.25; 22.50, 19.08",N/A,9.08; 7.58,25.42; 22.92,N/A,N/A,N/A,N/A,N/A,"X - 11.50; 18.58; 21.17, 24.75 - X","Disconnect Box, Messenger, CATV, Top of Weatherhead",Lisa,,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3754703/PHL-098_404446_NAT_Redlined_As-Built.pdf,,,,
404486,"Philadelphia, PA",PECO (Philadelphia Electric Company),44,Wood,34.25,30.17; 29.17,20.83; 19.67; 18.33,N/A,X,27; 24.67,N/A,N/A,N/A,N/A,N/A,28.17 - X; 18.67; X - 9.92,"Top of Weatherhead CATV 
Bottom of disconnect",Lisa,,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3754958/PHL-405-404486_NAT_Redlined_As-Built.pdf,,,,
404576,"Philadelphia, PA",PECO (Philadelphia Electric Company),29.5,Wood,28.75,26.67,24.75; 24.25; 23.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.33,Telecom hook,Lisa,,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3754340/MBC002_NAT_Revised_As_Built.pdf,,,,
407531,"Philadelphia, PA",PECO (Philadelphia Electric Company),39.67,Wood,N/A,32.17,26.25; 23.58; 19.83; 19,N/A,x - 7.33,31; 28.83,N/A,N/A,N/A,N/A,N/A,24.33; 22.25; X - 11.25,"RCN
Messenger
Disconnect box",Lisa,,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3755140/PL90XSEW7N18.L_PHP565_RECORD_REV00_20200420.pdf,,,,
407553,"Philadelphia, PA",PECO (Philadelphia Electric Company),32.92,Wood,N/A,N/A,26.42; 22.25,N/A,N/A,N/A,20.25; 16.42,N/A,N/A,N/A,N/A,X - 11.42,Other - Disconnect,Lisa,,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3755116/PHP551_407553_NAT_Redlined_As-Built.pdf,,,,
416029,"Baltimore, MD",BAL (City of Baltimore),27.5,Metal,N/A,N/A,N/A,N/A,N/A,27,N/A,N/A,X - 6.6,N/A,N/A,X - 4.7,Other - Disconnect,Lisa,,https://www.ccisites.com/uploads/non_otg_docs/work_task/5300000-5399999/5396785/COP-DTE-370-15538745-As_Built_Construction_Drawings.pdf,,,,
457235,"Houston, TX",CC (CrownCastle),34.5,Wood,N/A,N/A,N/A,N/A,X-23.17,N/A,N/A,N/A,5.5 - X,N/A,N/A,N/A,,Lisa,25,https://www.ccisites.com/uploads/non_otg_docs/work_task/5300000-5399999/5392081/5392081_1600997109443_ATT_HO020303_Redlines_6.18.2020_(2)_NAT.pdf,,,,
410668,"Trenton, NJ",PSEG,38.75,Wood,N/A,24.67,19.9,N/A,N/A,N/A,N/A,N/A,7.5,N/A,N/A,N/A,,Lisa,22,https://www.ccisites.com/uploads/non_otg_docs/work_task/3200000-3299999/3260124/PRT-005_NAT_Revised_As_Built.pdf,,,,
425366,"Houston, TX",CC (CrownCastle),32,Metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,X,N/A,N/A,N/A,,Lisa,20,https://www.ccisites.com/uploads/non_otg_docs/work_task/2200000-2299999/2297228/2297228_1611073455217_Woods Beta-02 - As-Built - 01.15.21.pdf,,,,
409603,"Miami, FL",CC (CrownCastle),35.17,Metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,X,N/A,N/A,X; X,Other - Disconnect,Lisa,15,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3702867/3702867_1573597725878_MI90XSL00 - 3_1_Rev 0_05.16.18_Redlined_CD's.pdf,,,,
409748,"Miami, FL",CC (CrownCastle),38.17,Wood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,X,N/A,N/A,X,Disconnect is other,Erin,15,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3702766/3702766_1576509284735_SM73_31_1_409748_NAT_Revised_As_Built.pdf,,,,
409801,"Miami, FL",City of Hilaleah,40.83,Metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,X,N/A,N/A,X,Disconnect is other,Erin,15,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3702705/46_2_409801_Construction_Drawings.pdf,,,,
409889,"Miami, FL",CC (CrownCastle),41.08,Metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,X,N/A,N/A,N/A,,Erin,13,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3702930/3702930_1582910513254_SM56  73_2_409889_Construction_Drawings_redline.pdf,,,,
410566,"Cincinnati, OH",CC (CrownCastle),30,Metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,X,"Porthole is the other, height unknown",Erin,20,https://www.ccisites.com/uploads/non_otg_docs/work_task/3800000-3899999/3811641/410566_CI90XS818_NAT_Reviewed_As-Built.pdf,,,,
